Artist,Album,Year
Alice Cooper,Welcome to My Nightmare,1975
Helloween,Keeper of the Seven Keys\, Pt. 1,1987
Dream Theater,Metropolis Pt. 2: Scenes from a Memory,1999
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1967
David Bowie,"Heroes",1977
